,Pel kW,Pth kW
0,0.2895831428832617,0.3986784140969163
1,0.28501234116464025,0.3939584644430459
2,0.27161989212907944,0.3832599118942731
3,0.2788189048359082,0.3948395217117684
4,0.26748331657372704,0.3882315921963499
5,0.3223329371971843,0.3960981749528005
6,0.38040497303226983,0.4838892385147892
7,0.5362921656458544,0.6567652611705475
8,0.5746411920650882,0.7397734424166142
9,0.703537800530213,0.6931403398363752
10,0.7132507541822836,0.6686595342983009
11,0.5488161623548771,0.6718691000629327
12,0.5768123228814334,0.6283196979232222
13,0.4795228083005759,0.646821900566394
14,0.46018831703080715,0.6176211453744493
15,0.5011427004296554,0.6386406544996853
16,0.5175061705823202,0.5179358086847073
17,0.48228814334034187,0.4533668974197609
18,0.548404790200201,0.4648835745752046
19,0.4065728128713776,0.43568281938326
20,0.3597906572812871,0.3947136563876652
21,0.4055215284760947,0.4071743234738829
22,0.4011564128348112,0.4079295154185022
23,0.36008775939299753,0.4075290348418102
24,0.3638586708108602,0.4016991818753933
25,0.2891032087028065,0.4346129641283827
26,0.2703172136392723,0.4115166771554437
27,0.2661577840753268,0.4215859030837004
28,0.2838696407349849,0.4155443675267464
29,0.34399853734345004,0.4317809943360605
30,0.4141603437242892,0.5252359974826936
31,0.4630679221135387,0.7519823788546256
32,0.5773151110704817,0.7581497797356829
33,0.6455800347380931,0.6843297671491505
34,0.5046165097358076,0.7166142227816237
35,0.4791571441630862,0.756828193832599
36,0.4482585245452052,0.7051604782882317
37,0.42663863241612576,0.7028319697923222
38,0.37702257976049,0.6889867841409693
39,0.467181643660298,0.7346758967904344
40,0.4664731693939117,0.5662680931403399
41,0.5539811682969193,0.5180616740088106
42,0.5182832068744858,0.5227186910006293
43,0.437128622360362,0.4610446821900567
44,0.445241795410915,0.4567652611705475
45,0.38141054941036656,0.4347388294524858
46,0.33613675838742113,0.4503461296412838
47,0.33412560563122773,0.4499685336689742
48,0.3496434774659475,0.4424795468848332
49,0.3101517506170582,0.439962240402769
50,0.31917908401133555,0.4434235368156073
51,0.31831063168479745,0.4447451227186911
52,0.3089633421702166,0.4434864694776589
53,0.3496206234573544,0.4533039647577093
54,0.4273471066825121,0.5853996224040278
55,0.4818996251942591,0.7922592825676528
56,0.5142609013620989,0.8326620516047829
57,0.7159475271962703,0.7753933291378226
58,0.4912012066916537,0.7867212083071115
59,0.453972026693482,0.7848332284455632
60,0.46834719809854647,0.7257394587791065
61,0.39747691745132097,0.7811831340465702
62,0.38954657646951274,0.7754562617998743
63,0.45538897522625466,0.7333543108873506
64,0.4890300758753085,0.6067967275015734
65,0.5125239967090227,0.5149150409062304
66,0.6267711856659658,0.5395846444304595
67,0.44432763506719075,0.5144745122718691
68,0.34541548587622267,0.4791692888609188
69,0.30548953286406433,0.4589679043423537
70,0.32235579120577745,0.4830711139081183
71,0.32009324435505987,0.4874764002517306
72,0.30206143157509824,0.4712397734424166
73,0.29472529481671084,0.4758967904342354
74,0.2959137032635524,0.4677155443675268
75,0.30265563579851906,0.4649465072372561
76,0.32459548404790195,0.4728760226557584
77,0.3862555992321053,0.4713027061044682
78,0.42126794039674553,0.5790434235368156
79,0.46635889935094615,0.8164254247954689
80,0.5066048084834079,0.9477029578351166
81,0.696727305969467,0.8194461925739459
82,0.5501416948532772,0.8125865324103211
83,0.4566459456988755,0.8113908118313405
84,0.4745177804186854,0.7815607300188799
85,0.3698921290794405,0.8634990560100692
86,0.3562482859493555,0.7946507237256137
87,0.4297924856019745,0.7464443045940843
88,0.4538577566505165,0.6545626179987414
89,0.4986516134930067,0.5439899307740718
90,0.5947298656184294,0.542039018250472
91,0.45753725203400675,0.5091252359974827
92,0.38746686168753997,0.4865953429830082
93,0.3942087942225066,0.4898678414096916
94,0.3756056312277173,0.4870358716173694
